session_pitch,time,rear_ankle_angle_x,rear_ankle_angle_y,rear_ankle_angle_z,elbow_angle_x,elbow_angle_y,elbow_angle_z,rear_hip_angle_x,rear_hip_angle_y,rear_hip_angle_z,rear_knee_angle_x,rear_knee_angle_y,rear_knee_angle_z,shoulder_angle_x,shoulder_angle_y,shoulder_angle_z,wrist_angle_x,wrist_angle_y,wrist_angle_z,pelvis_angle_x,pelvis_angle_y,pelvis_angle_z,lead_ankle_angle_x,lead_ankle_angle_y,lead_ankle_angle_z,glove_elbow_angle_x,glove_elbow_angle_y,glove_elbow_angle_z,lead_hip_angle_x,lead_hip_angle_y,lead_hip_angle_z,lead_knee_angle_x,lead_knee_angle_y,lead_knee_angle_z,glove_shoulder_angle_x,glove_shoulder_angle_y,glove_shoulder_angle_z,glove_wrist_angle_x,glove_wrist_angle_y,glove_wrist_angle_z,torso_angle_x,torso_angle_y,torso_angle_z,torso_pelvis_angle_x,torso_pelvis_angle_y,torso_pelvis_angle_z,pkh_time,fp_10_time,fp_100_time,MER_time,BR_time,MIR_time
1031_2,0.0861,104.5325,19.6362,3.312,97.1966,0,39.1388,-29.3499,-1.9414,12.687,31.5539,0,0,10.4221,22.2016,-51.5664,22.3841,4.6505,0,9.5693,-1.7851,25.312,103.705,9.2067,5.522,93.8148,0,14.9971,-6.6032,-10.415,11.1687,12.158,0,0,2.0279,18.8242,-42.5793,3.7911,-2.7993,0,3.4107,-2.6532,23.4884,6.2442,-0.9737,1.7681,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0889,104.6874,19.6017,3.3142,97.2314,0,39.1477,-29.4534,-1.9541,12.7346,31.8061,0,0,10.3838,22.2137,-51.5431,22.592,4.5788,0,9.5954,-1.745,25.189,103.8232,9.3998,5.3658,93.9048,0,14.9781,-6.682,-10.3703,11.098,12.3064,0,0,2.0728,18.8232,-42.6135,3.9788,-2.7681,0,3.4132,-2.6297,23.3399,6.2682,-0.9918,1.7926,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0917,104.8345,19.5825,3.3235,97.2635,0,39.1264,-29.5559,-1.9688,12.7763,32.0716,0,0,10.3258,22.2211,-51.4982,22.7756,4.495,0,9.618,-1.7069,25.0611,103.9455,9.6076,5.2229,93.9962,0,14.9651,-6.7614,-10.3304,11.0142,12.4657,0,0,2.1161,18.8233,-42.6447,4.1749,-2.7252,0,3.4158,-2.6044,23.1899,6.2884,-1.006,1.8138,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0944,104.9696,19.5752,3.3376,97.2923,0,39.0785,-29.6572,-1.9864,12.813,32.3501,0,0,10.251,22.2226,-51.4316,22.9226,4.3969,0,9.637,-1.6708,24.9278,104.072,9.8289,5.0961,94.0875,0,14.9607,-6.8408,-10.2971,10.9191,12.6356,0,0,2.1574,18.8245,-42.6702,4.3695,-2.6761,0,3.4183,-2.5772,23.0386,6.305,-1.016,1.8314,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.0972,105.0887,19.5757,3.3536,97.3179,0,39.0086,-29.7566,-2.0074,12.8447,32.6407,0,0,10.164,22.2176,-51.3457,23.0253,4.2834,0,9.6522,-1.6366,24.7891,104.2027,10.0623,4.9866,94.1777,0,14.966,-6.9198,-10.2715,10.8144,12.8157,0,0,2.1968,18.827,-42.6889,4.5554,-2.626,0,3.4201,-2.5478,22.8859,6.3181,-1.0216,1.845,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.1,105.1876,19.5793,3.368,97.3406,0,38.9224,-29.8536,-2.0322,12.8709,32.9419,0,0,10.0703,22.206,-51.2447,23.0809,4.1551,0,9.6635,-1.6044,24.6445,104.3378,10.3066,4.894,94.2661,0,14.9804,-6.998,-10.2537,10.7019,13.0059,0,0,2.2346,18.8307,-42.7003,4.728,-2.58,0,3.4209,-2.5162,22.732,6.3279,-1.0228,1.8543,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.1028,105.2633,19.5818,3.3774,97.3613,0,38.8268,-29.9473,-2.0612,12.8905,33.2519,0,0,9.9757,22.188,-51.1339,23.0914,4.0147,0,9.6705,-1.574,24.494,104.477,10.5603,4.8163,94.3523,0,15.0021,-7.0752,-10.2434,10.5834,13.2061,0,0,2.2713,18.836,-42.7052,4.8854,-2.5424,0,3.4204,-2.4822,22.5769,6.3345,-1.0196,1.8592,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.1056,105.3133,19.5788,3.378,97.381,0,38.7291,-30.0366,-2.0944,12.902,33.5682,0,0,9.8857,22.1642,-51.0195,23.063,3.8666,0,9.6733,-1.5453,24.3373,104.6204,10.8225,4.7503,94.4363,0,15.0284,-7.1513,-10.2397,10.4605,13.4161,0,0,2.3076,18.843,-42.7049,5.0277,-2.5168,0,3.4182,-2.446,22.4204,6.3383,-1.012,1.8595,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.1083,105.3365,19.5668,3.3665,97.4005,0,38.6375,-30.1208,-2.1319,12.9035,33.8881,0,0,9.8049,22.1355,-50.907,23.005,3.7163,0,9.6716,-1.5182,24.1743,104.7678,11.0918,4.692,94.5183,0,15.0561,-7.2262,-10.2412,10.3345,13.6361,0,0,2.344,18.8519,-42.7012,5.157,-2.506,0,3.4141,-2.4076,22.2624,6.3393,-1.0002,1.8552,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
1031_2,0.1111,105.333,19.543,3.3401,97.4204,0,38.5597,-30.1987,-2.1737,12.8931,34.2084,0,0,9.7363,22.1028,-50.8013,22.9291,3.5705,0,9.6654,-1.4927,24.0049,104.9191,11.3674,4.6368,94.5986,0,15.0819,-7.2999,-10.2464,10.2069,13.8664,0,0,2.3813,18.8626,-42.696,5.2762,-2.5115,0,3.4078,-2.367,22.1029,6.3375,-0.9846,1.8463,0.625,1.1806,1.1917,1.3056,1.3389,1.3778
